id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-1.2462237802566565
1,-400,0,0,-1.308656611014116
2,0,0,-200,-1.3743753802324945
3,0,0,-200,-1.443553032041314
4,400,0,0,-1.5163716128927027
5,400,0,-200,-1.5930227506310068
6,0,-400,0,-1.67370815877659
7,400,0,0,-1.7586401673508882
8,0,0,200,-1.8480422816396231
9,400,400,0,-1.9421497703646071
10,400,400,200,-2.041210284811959
11,0,400,0,-2.145484510546013
12,0,0,200,3.80935094494037
13,700,0,0,3.8551769473015445
14,700,0,0,4.061238891678728
15,700,0,0,4.278146201549447
16,700,0,0,4.5064696856238875
17,700,0,0,4.7468101951759305
18,700,0,0,4.999800205230713
