id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,25.42789305821538
1,0,0,-200,26.769377175576516
2,0,0,-200,28.181449658283963
3,0,0,-200,29.667841745344433
4,0,0,-200,31.23246499488177
5,400,0,200,32.87943683650002
6,400,400,0,34.61309140662449
7,0,-400,0,36.43799095412393
8,400,0,0,38.35893784622861
9,400,0,0,40.3809872063388
10,400,400,200,42.509460216981104
11,0,400,200,44.74995812292037
12,0,0,200,47.108376971277494
13,700,0,200,48.721734177830086
14,700,0,0,30.973110964175135
15,700,0,0,10.198104559618205
16,-400,0,0,9.569968638732998
17,-400,0,0,10.076785000360685
18,-400,0,0,10.610300000162033
19,-400,0,0,11.17189473679503
20,0,-400,0,11.763047091145555
21,0,0,-200,11.254459826319355
22,700,0,0,8.625968267059706
23,700,0,0,-4.948609625637523
24,700,400,0,-29.998049772977822
25,700,0,0,-40.251000499725336
26,700,0,0,-22.069838523864746
