id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,23.55171467266841
1,0,0,-200,24.794452559211283
2,0,0,-200,26.1025816410574
3,400,0,200,27.479559621948052
4,400,0,-200,28.929010128148736
5,400,0,0,30.454747503096826
6,400,0,200,32.06078684514745
7,400,400,200,33.75135457362178
8,0,0,-200,35.53089955096319
9,0,0,0,37.40410479026993
10,400,0,0,39.37589977901388
11,400,0,-200,41.451473451375925
12,400,400,200,43.63628784333597
13,700,0,200,45.93609246645181
14,700,0,0,21.026006090367137
15,700,-400,0,-15.215191728478672
16,0,-400,0,-36.854661521792416
17,700,0,0,-36.94709382295609
18,700,0,0,-32.1813506603241
19,700,400,0,-6.444083213806152
