id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,22.365053068539602
1,0,0,-200,23.54533508118096
2,0,0,-200,24.787721137867585
3,0,0,-200,26.095495934379823
4,400,0,0,27.472100983340074
5,400,0,0,28.921158929614023
6,400,0,0,30.4464830835866
7,400,0,0,32.05208745618931
8,400,400,200,33.74219732208691
9,0,400,200,35.52126033882122
10,700,0,0,37.393958251173125
11,0,0,200,38.12323401505077
12,-400,0,0,40.121570342857055
13,-400,0,0,42.236389834368744
14,400,0,0,44.46251561490736
15,0,0,0,46.80580591021117
16,0,0,200,49.27242727368886
17,400,0,0,51.868870814191695
18,400,-400,0,54.60196927787889
19,400,0,0,44.84937541203636
20,400,0,0,26.430555817505123
21,0,0,0,17.576712053094415
22,0,0,0,16.265058228807213
23,700,0,0,17.12427181957943
24,700,0,0,10.450212651792146
25,-400,0,0,-4.813814984807866
26,0,0,200,-14.211249588926108
27,400,0,0,-15.354627813391751
28,400,0,-200,-16.159608224840532
29,0,0,-200,-17.006956026365565
30,0,400,0,-17.898901080602442
31,700,0,0,-18.837790611378104
32,700,0,0,-21.724401123911143
33,700,0,0,-36.87702744424343
34,700,0,0,-32.85919634103775
35,0,0,0,1.5639097690582275
