id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,400,0,0,31.094652948334613
1,0,0,200,32.73435546246189
2,0,0,200,34.460374170794886
3,400,0,0,36.27723596904014
4,400,0,-200,38.1897220724562
5,400,0,200,40.20286533920994
6,400,-400,0,42.321963514740204
7,-400,0,0,43.78040212459333
8,400,0,0,42.81245247383878
9,0,0,0,45.068897340665295
10,0,0,0,47.44410246364057
11,0,0,-200,49.94431838256191
12,0,0,-200,50.73906283044183
13,700,0,0,53.412585282976906
14,700,0,0,35.547368503040076
15,700,0,0,-2.96065734517574
16,700,0,0,-31.808232996463772
17,700,0,0,-35.91574816703796
18,0,0,0,-7.336119651794434
