id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-24.043807093461286
1,0,0,-200,-25.306112730176885
2,0,0,-200,-26.634855505666987
3,0,0,-200,-28.033532111446046
4,400,0,200,-29.505823275424
5,400,0,-200,-31.05560344803237
6,400,0,0,-32.68695099814645
7,400,0,0,-34.404158945634954
8,400,0,0,-36.21174625878075
9,400,0,200,-38.11446974630264
10,400,400,200,-40.11733657527305
11,400,0,0,-42.22561744787348
12,0,0,0,-17.142985535693303
13,-400,0,0,-9.712430050646537
14,0,0,0,-10.220452685108727
15,0,-400,0,-10.755213352963665
16,400,0,0,-11.318119319126756
17,400,400,0,-11.910651915087906
18,0,0,200,-3.049812233159398
19,700,0,0,3.853938636330706
20,400,0,0,4.059935406446266
21,700,0,0,4.276774111831066
22,700,0,0,4.5050253806571705
23,700,0,0,4.745289874158334
24,700,0,0,4.998199867317453
