id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,30.505801227645872
1,0,0,0,32.114543669713875
2,0,0,-200,33.80794070474434
3,0,0,-200,35.59046389951325
4,0,0,-200,37.46680410453316
5,400,0,0,39.441899057185694
6,400,0,0,41.52094637576731
7,400,0,0,43.70941723743216
8,400,0,0,46.01307077602675
9,0,400,200,48.43796923770526
10,400,400,200,50.990493934208956
11,0,0,200,46.13908649184835
12,700,0,0,37.49713681976557
13,700,0,0,22.155471414114537
14,700,0,0,-12.688872092872856
15,700,0,0,-36.25170079648495
16,700,0,0,-34.08698412179947
17,0,0,0,1.4413206577301025
