id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-21.957177369880593
1,0,0,-200,-23.10966038956563
2,0,0,-200,-24.32280041028672
3,400,0,-200,-25.599789905782607
4,400,0,200,-26.943989374725643
5,400,0,0,-28.358936184139367
6,0,0,200,-29.848353878259076
7,400,0,0,-31.416161977332454
8,400,0,0,-33.066486292146536
9,400,0,200,-18.643407500692515
10,700,0,0,-2.528377496263758
11,700,0,0,1.0619612502828235
12,700,0,0,2.7153626416623586
13,700,0,0,3.776271095871925
14,700,0,0,4.557243168354034
