id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,35.12898476727238
1,0,0,200,36.98102053502796
2,0,0,200,38.93054793139074
3,400,0,-200,40.98268203282525
4,400,0,0,43.14282319223
5,400,0,200,45.41665599160341
6,400,0,0,47.81016420147017
7,0,0,-200,50.32964652764571
8,0,0,-200,52.981733186777845
9,700,0,0,55.773403354285364
10,700,0,0,40.108535436882086
11,700,0,0,-1.2048875364363134
12,700,0,0,-32.96751338899135
13,700,0,0,-40.144723284244535
14,700,0,0,-14.824693441390991
