id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,35.692753598816495
1,0,0,200,37.574461410337555
2,0,0,200,39.55522253697979
3,400,0,-200,41.64023424923478
4,400,0,200,43.8349834200295
5,400,0,-200,46.14524570507658
6,400,0,200,48.577100741968245
7,0,-400,-200,51.136948149222626
8,0,-400,0,46.4826339865983
9,0,0,0,36.20272176153414
10,700,0,-200,36.74936691163712
11,700,0,0,27.056372450514143
12,700,0,0,-5.088574461013074
13,700,0,0,-33.2562065666914
14,700,0,0,-39.53359709978103
15,700,0,0,-14.535334348678589
