id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-5.7936611619637555
1,0,0,0,-6.095432802284747
2,0,0,-200,-6.413087160517369
3,0,0,-200,-6.747460169183287
4,0,0,-200,-7.099431757252675
5,400,0,0,-7.469928165746767
6,400,0,0,-7.859924385214232
7,400,0,0,-8.270446721495775
8,400,0,0,-8.702575496528977
9,400,0,0,-9.15744789130077
10,400,0,200,-9.636260938428972
11,400,0,200,-10.140274672248133
12,400,0,0,-10.670815444689355
13,400,0,200,-11.229279415680114
14,400,0,0,-3.922447597753081
15,700,0,0,1.355881088897771
16,700,0,0,2.5832910536937406
17,700,0,0,3.389766874983906
18,700,0,0,4.056000916659832
19,700,0,0,4.701211780309677
