id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-17.03441322146498
1,0,0,-200,-17.927811422175015
2,400,0,0,-18.868222549875547
3,400,0,0,-19.858129000086635
4,400,400,200,-20.900135789782514
5,400,0,-200,-21.996985042093968
6,-400,0,0,-23.151563202421812
7,-400,0,-200,-24.366908634345858
8,400,0,0,-25.64621961531854
9,400,0,0,-26.99286275318452
10,400,0,0,-28.41038184567503
11,0,0,200,-29.902507206191352
12,0,0,200,-31.47316548041906
13,700,0,0,-33.12648997960612
14,700,0,0,-31.198128604888915
15,700,0,0,-8.493186950683594
