id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,29.269183022621768
1,0,0,0,30.812840296004293
2,0,0,-200,32.43772662715531
3,0,0,-200,34.14813329152479
4,0,0,-200,35.94856135928215
5,400,0,0,37.843748799026734
6,400,0,0,39.8386829461263
7,400,0,0,41.938613627283736
8,400,0,0,44.14906697587051
9,0,400,200,46.47585997438291
10,0,400,200,48.92511576229069
11,400,0,0,43.30375203324889
12,400,0,200,35.967781636103574
13,400,0,0,34.53998998903871
14,700,0,0,25.996067692351346
15,700,0,0,3.0309307465553346
16,700,0,0,-26.1402398777008
17,700,0,0,-39.22091350555419
18,700,0,0,-23.89458465576172
