id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-1.0899172445378387
1,-400,0,0,-1.1441234155206235
2,0,0,-200,-1.2011825428709233
3,0,0,-200,-1.2612447821870283
4,0,0,-200,-1.3244681919934547
5,400,0,200,-1.3910191496844297
6,400,0,-200,-1.4610727893591404
7,400,0,0,-1.534813462700941
8,400,0,0,-1.6124352241133628
9,400,0,0,-1.6941423413895964
10,400,400,0,-1.780149833259316
11,0,0,200,-1.8706840352274419
12,400,0,200,-1.96598319519389
13,400,0,200,-2.0662981004217302
14,700,0,0,-2.171892737503667
15,700,0,0,-0.42927888638638056
16,700,0,0,1.9292953390106549
17,700,0,0,3.3045543576776972
18,700,0,0,4.156524428725242
19,700,0,0,4.8626322746276855
