id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-81.84048738727176
1,0,0,-200,-86.14472356576687
2,0,0,-200,-90.67549849049855
3,0,0,-200,-95.44473525337402
4,400,0,200,-100.46498447745346
5,400,0,0,-105.7494573449055
6,0,0,-200,-111.31206036327606
7,400,0,0,-117.16743196156087
8,0,400,200,-123.33098101238697
9,0,400,0,-129.8189273816776
10,0,0,200,-124.43140290729119
11,700,0,0,-127.71039166223429
12,700,0,200,-109.15807939591556
13,700,0,0,-62.52751928696036
14,700,0,0,-39.284779964089395
15,700,-400,0,-32.3548765540123
16,700,0,0,-15.149449586868286
