id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-84.72219212307273
1,0,0,0,-89.17809697187315
2,0,0,0,-93.86852312850516
3,0,0,0,-98.80581381969675
4,-1,0,0,-104.0029619156879
5,-1,0,0,-109.47364412199438
6,-1,0,0,-115.23225697073805
7,0,-1,0,-121.2939547062577
8,0,0,1,-127.67468916469943
9,1,0,0,-134.39125175253284
10,1,0,1,-141.46131763446274
11,0,0,0,-148.90349224702052
12,0,0,0,-156.73736026023926
13,0,-1,0,-164.98353711625896
14,0,-1,0,-173.66372328049022
15,-1,0,0,-182.80076134810207
16,-1,0,0,-185.69151374364353
17,-1,0,0,-156.20436087684106
18,0,0,0,-118.57917073982088
19,-1,0,0,-106.8144772790791
20,-1,0,0,-96.0922886345388
21,0,0,0,-60.0100172416789
22,0,0,0,-45.17269512293052
23,0,0,1,-47.547047498039234
24,0,0,0,-50.04636578762736
25,0,0,0,-52.677227145088544
26,0,0,0,-55.44655488978453
27,0,0,0,-58.361636726306614
28,0,0,0,-61.430143922645655
29,0,0,1,-64.66015149773938
30,0,0,1,-68.06015947152224
31,0,0,1,-71.63911523339894
32,0,0,1,-75.406437088006
33,1,0,0,-79.37203904022395
34,1,0,0,-72.24948795992614
35,1,0,0,-47.42283779652999
36,0,0,0,-13.060087470339957
37,0,0,0,1.1430710691347212
38,-1,0,0,1.2063905988715449
39,-1,0,0,1.2730427354366225
40,0,0,0,1.3432028791893358
41,0,0,0,1.4170556620869286
42,0,0,-1,1.4947954335580789
43,1,0,0,1.5766267719487634
44,1,0,0,1.6627650228863262
45,1,0,1,1.7534368659784976
46,1,0,1,1.848880911338678
47,1,0,1,1.949348327507289
48,0,0,1,2.055103502421616
49,0,0,1,2.16642473917354
50,0,0,1,2.2836049883860907
51,0,0,0,2.4069526191361446
52,1,0,0,2.5367922304519905
53,1,0,0,2.6734655055213024
54,1,0,0,2.8173321108574196
55,1,0,0,2.968770642790175
56,1,0,0,3.1281796237720227
57,1,0,0,3.295978551121336
58,1,0,0,3.4726090009627186
59,1,0,0,3.658535790269437
60,1,0,0,3.8542482000659826
61,1,0,0,4.060261263009715
62,1,0,0,4.27711711873996
63,1,0,0,4.50538644056127
64,1,0,0,4.74566993721528
65,1,0,0,4.9985999336931854
