id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-5.807041083285126
1,0,0,-200,-6.109516929991453
2,0,0,-200,-6.427912558103375
3,0,0,-200,-6.763065850852767
4,400,0,0,-7.11585879058897
5,400,0,0,-7.487219779784972
6,400,0,200,-7.878126084201817
7,400,0,-200,-8.289606404640601
8,400,0,200,-8.722743584049848
9,400,0,-200,-9.178677457112213
10,0,400,200,-9.658607849809439
11,0,0,0,3.0108493917424575
12,-400,0,0,6.54545263355778
13,-400,0,0,6.893108035106343
14,0,0,0,7.259061089367989
15,400,0,-200,7.644274830696038
16,400,0,200,8.049762979462406
17,400,0,0,8.476592609742791
18,400,400,200,8.925886957406355
19,400,400,200,9.398828375999582
20,700,0,0,14.5350603697123
21,700,0,0,8.705883364658803
22,700,0,0,6.668851794674993
23,700,0,0,5.705670528113842
24,700,0,0,5.317839533090591
