id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,23.32163245154038
1,-400,0,0,24.55226074749757
2,-400,0,0,25.847642891885073
3,-400,0,0,27.211203043871915
4,-400,0,0,28.64652951964754
5,0,0,-200,30.157399494148198
6,400,0,0,31.747788940990997
7,400,0,200,33.421883095562364
8,400,0,200,29.115715217329466
9,700,0,-200,13.290551536687012
10,0,0,0,13.607486035937852
11,-400,0,0,14.326827406032736
12,-400,0,0,15.084028848237876
13,-400,0,0,15.881082997927498
14,0,0,-200,16.720087366021836
15,400,0,0,17.60324985875272
16,400,400,200,18.532894587943122
17,700,0,0,19.511467987090914
18,-400,0,0,20.54154524935175
19,-400,0,0,21.625837104363153
20,-400,0,0,22.76719695174358
21,0,0,0,23.968628370038765
22,0,0,-200,25.233293020875802
23,400,0,0,26.564518969125317
24,400,0,0,27.96580944096691
25,0,0,0,21.105618326660277
26,0,-400,0,20.1914481235041
27,0,0,200,21.25729775211398
28,700,0,0,22.379260791481293
29,700,0,0,13.275512811303145
30,700,0,0,-19.22295006036758
31,700,0,0,-38.83427176475524
32,700,0,0,-31.78823757171631
