id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-2.0277037999394953
1,0,0,-200,-2.1312671580486833
2,0,0,-200,-2.2402812192162496
3,0,0,-200,-2.3550328625505297
4,400,0,0,-2.4758240660602984
5,400,0,200,-2.602972701333739
6,400,0,0,-2.736813370042624
7,0,0,0,-2.8776982844730292
8,400,0,200,-3.0259981943997714
9,400,0,200,-3.1821033627437108
10,400,0,0,-3.3464245925794365
11,400,0,0,0.9670589963124172
12,700,0,0,2.150281238924618
13,700,0,0,2.9013775089029217
14,700,0,0,3.5377949893102048
15,700,0,0,4.183342234045267
16,700,0,0,4.804962560534477
