id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-118.35917370247688
1,0,0,-200,-124.58544600282488
2,0,0,-200,-131.13941684529647
3,0,0,-200,-138.03833352158233
4,400,0,200,-145.30035107556748
5,400,0,0,-152.94458007976235
6,400,0,0,-160.99113692628327
7,0,400,200,-158.35511181656582
8,0,0,0,-155.51422154593953
9,0,0,-200,-163.69491441021157
10,0,-400,0,-172.30727832675615
11,400,0,0,-181.3729245546978
12,0,400,200,-190.91571005779426
13,0,400,0,-200.4742490306214
14,700,0,0,-212.0560619658248
15,700,0,0,-198.0108087759286
16,700,0,200,-137.63568458861113
17,700,0,0,-55.94321361660957
18,700,0,0,-15.952532076835633
19,700,0,0,-2.175783634185791
20,700,0,0,3.826301097869873
