id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,27.667462195205626
1,-400,0,0,29.126818372408355
2,0,0,-200,30.662966707580633
3,0,0,-200,32.2799649551304
4,0,0,-200,33.982068373603845
5,0,0,-200,35.77375618252326
6,400,0,200,37.659743349806845
7,400,0,0,39.644992999579046
8,400,0,0,41.73472947302347
9,400,0,200,43.93445207664918
10,0,0,0,46.24994955414992
11,400,400,200,48.68731531994018
12,400,0,0,51.252963494456246
13,700,0,0,44.75272457232293
14,0,0,200,26.445844470724897
15,700,0,0,15.791046555905423
16,700,0,0,2.2336799313724107
17,700,0,0,-25.69683760821819
18,700,0,0,-39.615644848346705
19,700,0,0,-26.12116503715515
